ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu,edu_cat,imaginary_screensize,eyesight_z
21954,post,AR,52,male,bachelors degree,19,108,99,33.41454845,101,unspecified,117.29430352573115,-2.9174799891233647,unspecified,NA,college,1293,0.3177507021694768
59235,post,AR,27,female,masters degree or equivalent,17,225,219,51.7160422,69.875,asian,99.27980911701225,9.10874554716635,no,18,postcollege,1301,0.2957534147739635
37640,post,AR,57,female,associates or some college,16,521,373,121.46050328333334,72.79166666666667,white,102.39649297175713,2.9196851071197187,yes,14,college,1322,0.9997224566703082
5684,post,AR,25,male,associates or some college,13,885,856,180.0366422,285.9166666666667,white,96.35662119210265,0,yes,14,college,1306,-0.5814740543150547
42098,post,AR,46,male,bachelors degree,21,513,505,117.22851386666667,276.125,white,108.3885546641786,11.946992719059324,yes,16,college,1305,1.6061585655928778
50624,post,AR,19,female,associates or some college,15,1028,524,506.7503158666667,70.08333333333333,white,93.21971245113882,9.176780520618308,yes,12,college,1299,0.19940855602913365
56270,post,AR,52,female,bachelors degree,21,3043,523,1169.88031185,76.91666666666667,white,102.39649297175713,17.939054411480797,yes,16,college,1312,0.6063131695235191
27661,post,AR,56,female,associates or some college,12,137,124,32.30145496666667,70.08333333333333,unspecified,108.3885546641786,-15.168842213039781,unspecified,NA,college,1325,-1.1789272975893819
42706,post,AR,56,female,bachelors degree,22,954,424,486.09983910000005,69.5,white,120.33554738323792,2.835726147115892,unspecified,16,college,1319,2.1427669950117134
55908,post,AR,40,female,masters degree or equivalent,12,498,382,209.62871510000002,71.125,white,108.3885546641786,-15.168842213039781,yes,19,postcollege,1306,-1.163320106854262
17396,post,AR,44,male,masters degree or equivalent,13,169,165,38.686650283333336,71.04166666666667,white,90.24743945120954,6.109181740893106,yes,16,postcollege,1320,-0.7058888878337339
21362,post,AR,57,female,associates or some college,11,133,100,40.20194971666667,73.91666666666667,white,80.53167586467595,9.715763586533598,yes,15,college,1324,-1.0476165081511628
48625,post,AR,58,female,bachelors degree,14,644,560,120.7539218,215.16666666666666,white,90.24743945120954,9.032369665802705,yes,16,college,1327,-0.4355863711212145
19749,post,AR,43,female,masters degree or equivalent,15,1387,418,338.67682645,74,asian,102.39649297175713,0,no,20,postcollege,1330,-0.5159512917937045
45052,post,AR,52,male,high school,15,299,287,71.0990857,70,native_american,102.39649297175713,0,yes,12,hs,1300,-0.02412044376434268
19826,post,AR,23,male,associates or some college,21,154,153,28.433499316666666,81,white,114.37682353660779,5.958723846630136,yes,16,college,1305,1.004608062832027
67229,post,AR,25,male,phd,25,402,338,170.59599375,95.125,unspecified,129.13989476473813,3.0998092515045528,unspecified,NA,postcollege,1298,1.5977805739089181
62468,post,AR,29,male,bachelors degree,11,536,426,129.44016200000002,235.79166666666666,white,90.24743945120954,0,yes,16,college,1322,-0.1924241280169475
44433,post,AR,55,female,bachelors degree,25,232,227,67.58171825,77,white,120.33554738323792,11.90415663300476,yes,18,college,1308,1.96642149488602
23721,post,AR,20,male,high school,17,106,80,22.22588605,105.58333333333333,white,102.39649297175713,5.992061692421473,yes,12,hs,1321,0.4054026147476879
42763,post,AR,22,female,associates or some college,10,286,139,72.53403965,71.83333333333333,black,80.53167586467595,6.5095528600086965,no,12,college,1314,-0.5515953697750209
12594,post,AR,47,female,associates or some college,20,381,328,77.88878558333333,70.25,white,108.3885546641786,8.905748861552553,yes,16,college,1326,0.9394276171457686
59000,post,AR,15,male,high school,32,98,95,18.383091750000002,97.20833333333333,unspecified,132.23970401624268,19.216563090549215,unspecified,NA,hs,1297,2.5909470059749875
51900,post,AR,57,female,masters degree or equivalent,20,345,335,65.51209393333333,181.08333333333334,hispanic,114.37682353660779,2.9174799891233647,yes,18,postcollege,1323,0.9147876347045347
52501,post,AR,39,male,associates or some college,16,71,69,16.424926583333335,237.41666666666666,white,93.21971245113882,12.096465627738027,yes,14,college,1297,0.34175291736038427
52414,post,AR,54,female,masters degree or equivalent,23,4699,548,886.4254132,139.20833333333334,white,114.37682353660779,11.760975459585879,yes,20,postcollege,1318,0.764075260640006
48288,post,AR,55,female,bachelors degree,23,73,73,15.415649083333333,75.20833333333333,white,132.23970401624268,-6.101905020049017,yes,17,college,1326,0.48811997729952983
30649,post,AR,56,unspecified,unspecified,14,85,50,22.880591666666668,79.25,white,120.33554738323792,-21.055738266225674,yes,14,unspecified,1323,-0.5806223328313069
66795,post,AR,22,female,associates or some college,17,1176,495,553.86035985,92.04166666666667,unspecified,90.24743945120954,18.141115212969055,unspecified,NA,college,1299,0.19799917853985685
7752,post,AR,48,female,bachelors degree,15,266,243,75.75399553333334,83.83333333333333,white,108.3885546641786,-5.992061692421473,yes,17,college,1331,0.21861261062247822
46736,post,AR,52,male,bachelors degree,23,161,154,28.326033666666667,96.875,white,132.23970401624268,-6.101905020049017,yes,16,college,1313,-0.025181700897819667
29226,post,AR,55,female,associates or some college,9,1452,299,424.5845556833334,78,white,93.21971245113882,-9.30333173557915,yes,13,college,1316,-2.007392928894965
45856,post,AR,26,male,associates or some college,17,129,127,26.68592595,70.91666666666667,white,96.35662119210265,12.031933472075949,yes,14,college,1292,0.053159437550466454
39810,post,AR,32,female,bachelors degree,11,586,528,112.47627833333334,141.375,white,77.24992505278499,12.997514398424556,yes,16,college,1335,-0.605529675544907
