ID,test_type,assessment,age,gender,education_level,raw_score,gameplays_prior,unique_days_prior,gametime_prior,days_since_first_test,ethnicity,pretest_score,delta,english_nativelang,years_edu
22307,post,AR,54,female,high school,18,73,73,13.4934365,75.08333333333333,white,108.3885546641786,2.9181959098016677,yes,12
50355,post,AR,30,female,bachelors degree,15,162,156,35.86015616666667,71.5,white,87.04122872468464,15.355264247072483,yes,16
4968,post,AR,51,female,associates or some college,15,42,42,4.80042675,221.95833333333334,white,111.30675057398027,-8.91025760222314,yes,13
51619,post,AR,40,female,bachelors degree,12,1037,679,525.2541334666666,70,hispanic,114.37682353660779,-21.15711108546897,yes,16
24826,post,AR,28,male,masters degree or equivalent,14,47,47,8.357905916666667,163.16666666666666,other,105.31617807887685,-6.036368961864596,no,16
31314,post,AR,56,male,associates or some college,13,133,133,25.751574066666667,93,unspecified,93.21971245113882,3.1369087409638325,unspecified,NA
61580,post,AR,57,female,associates or some college,18,33,32,8.453104416666667,146.83333333333334,white,90.24743945120954,21.059311122770723,yes,14
32683,post,AR,50,male,unspecified,21,438,337,112.98044455,70,white,111.30675057398027,9.028796809257656,unspecified,16
44193,post,AR,36,female,bachelors degree,23,344,322,70.68383916666667,69.875,white,135.20157075228917,-9.063771756095505,yes,17
17055,post,AR,53,male,bachelors degree,15,984,955,210.44145706666666,292.0833333333333,other,105.31617807887685,-2.9196851071197187,no,17
64476,post,AR,48,female,bachelors degree,15,34,32,7.542248416666666,151.04166666666666,unspecified,117.29430352573115,-14.897810553974026,unspecified,NA
46140,post,AR,29,male,associates or some college,20,416,331,99.78296663333333,69.91666666666667,white,102.39649297175713,14.897810553974026,yes,14
12717,post,AR,51,female,associates or some college,10,1342,857,290.98269251666665,73.75,white,96.35662119210265,-9.315392467418008,yes,14
69201,post,AR,48,female,bachelors degree,17,318,206,66.88984073333333,90.16666666666667,unspecified,108.3885546641786,0,unspecified,NA
23404,post,AR,24,female,bachelors degree,14,794,442,295.4125452833334,73.875,white,105.31617807887685,-6.036368961864596,yes,16
65901,post,AR,50,female,bachelors degree,17,183,174,38.1852071,91.20833333333333,unspecified,93.21971245113882,15.168842213039781,unspecified,NA
11274,post,AR,55,female,bachelors degree,15,192,190,37.705873966666665,71.20833333333333,white,108.3885546641786,-5.992061692421473,yes,16
64051,post,AR,37,male,associates or some college,9,619,414,127.37830486666667,118.875,unspecified,87.04122872468464,-3.1248480091249746,unspecified,NA
61007,post,AR,55,male,bachelors degree,14,73,66,14.750587933333334,124.79166666666667,white,90.24743945120954,9.032369665802705,yes,16
3087,post,AR,48,female,associates or some college,14,1418,497,615.67311595,89.04166666666667,white,90.24743945120954,9.032369665802705,yes,13
43372,post,AR,29,male,masters degree or equivalent,17,61,61,11.407725583333333,71.95833333333333,unspecified,96.35662119210265,12.031933472075949,unspecified,NA
50001,post,AR,30,female,associates or some college,12,1134,722,246.53062913333335,95.20833333333333,unspecified,105.31617807887685,-12.096465627738027,unspecified,NA
32225,post,AR,48,female,associates or some college,18,228,228,44.03955616666667,70.04166666666667,white,90.24743945120954,21.059311122770723,yes,15
56257,post,AR,57,male,bachelors degree,10,138,129,33.7153475,72.20833333333333,white,83.91638071555967,3.1248480091249746,yes,16
33184,post,AR,47,male,bachelors degree,15,340,324,82.94041795,70.04166666666667,hispanic,93.21971245113882,9.176780520618308,no,18
64401,post,AR,23,male,bachelors degree,12,307,244,92.98767351666666,96.41666666666667,unspecified,105.31617807887685,-12.096465627738027,unspecified,NA
9540,post,AR,56,male,bachelors degree,24,973,559,339.5371536833334,69.83333333333333,white,120.33554738323792,8.804347381500207,yes,16
41793,post,AR,59,female,masters degree or equivalent,14,116,113,24.080341083333334,70.25,white,99.27980911701225,0,yes,20
23990,post,AR,51,female,associates or some college,16,687,422,123.46302073333334,90.875,unspecified,93.21971245113882,12.096465627738027,unspecified,NA
38966,post,AR,53,female,masters degree or equivalent,14,6317,1150,2403.4527422333335,294.0416666666667,white,99.27980911701225,0,yes,18
66557,post,AR,25,female,high school,12,266,227,73.49430086666666,119.04166666666667,unspecified,96.35662119210265,-3.1369087409638325,unspecified,NA
61790,post,AR,27,female,unspecified,12,282,255,79.08833750000001,237.79166666666666,white,111.30675057398027,-18.08703812284145,yes,18
40332,post,AR,28,unspecified,unspecified,16,337,237,93.8335698,69.83333333333333,white,96.35662119210265,8.959556886774195,yes,12
28063,post,AR,28,male,bachelors degree,15,516,410,256.53028613333333,70.08333333333333,asian,80.53167586467595,21.86481710708118,yes,18
8558,post,AR,44,female,bachelors degree,16,1316,1311,278.34672193333336,69.95833333333333,white,129.13989476473813,-23.823716685861285,yes,16
43872,post,AR,39,male,high school,19,158,149,31.04032955,70.08333333333333,white,114.37682353660779,0,yes,12
50731,post,AR,52,male,bachelors degree,19,429,395,105.26177778333333,69.95833333333333,white,108.3885546641786,5.988268872429188,yes,16
64161,post,AR,58,female,masters degree or equivalent,16,542,529,107.9838206,90.04166666666667,unspecified,114.37682353660779,-9.060645457730942,unspecified,NA
29615,post,AR,59,female,bachelors degree,10,265,249,59.03813638333333,94.875,unspecified,70.13496580221123,16.906262922473417,unspecified,NA
61374,post,AR,46,female,bachelors degree,10,400,372,85.45366486666667,126.375,white,87.04122872468464,0,yes,16
45291,post,AR,59,female,high school,11,234,209,48.12900335,72.91666666666667,white,90.24743945120954,0,yes,11
13380,post,AR,59,female,associates or some college,15,2852,2190,674.5877867166666,90.91666666666667,white,99.27980911701225,3.1166838547448776,unspecified,13
55387,post,AR,21,male,bachelors degree,23,1165,449,270.52396461666666,100.08333333333333,unspecified,108.3885546641786,17.749244332015067,unspecified,NA
8422,post,AR,42,female,masters degree or equivalent,13,255,218,75.95256465,69.91666666666667,black,83.91638071555967,12.440240476542982,yes,20
52971,post,AR,49,female,masters degree or equivalent,16,868,367,275.75710518333335,70.16666666666667,white,90.24743945120954,15.068738627667301,yes,20
6172,post,AR,46,male,masters degree or equivalent,20,327,311,64.46414235,144.79166666666666,unspecified,114.37682353660779,2.9174799891233647,unspecified,NA
21766,post,AR,58,unspecified,unspecified,13,189,187,38.435750266666666,70.41666666666667,white,108.3885546641786,-12.031933472075949,yes,16
6694,post,AR,41,female,bachelors degree,19,361,316,71.93846648333333,99.29166666666667,unspecified,117.29430352573115,-2.9174799891233647,unspecified,NA
39529,post,AR,58,female,associates or some college,18,519,481,117.92412218333334,70.08333333333333,white,114.37682353660779,-3.0700729626275205,yes,14
29302,post,AR,46,female,associates or some college,19,460,390,114.58692226666668,70.33333333333333,white,111.30675057398027,3.0700729626275205,yes,14
68310,post,AR,26,male,some high school,13,524,301,132.88136236666668,89.91666666666667,unspecified,77.24992505278499,19.106696139317663,unspecified,NA
